Season,Pos,Player,Team,Projected FFP
2024,DST,Cowboys,DAL,123
2024,DST,Eagles,PHI,123
2024,DST,Ravens,BAL,122
2024,DST,Bengals,CIN,120
2024,DST,Bills,BUF,120
2024,DST,Browns,CLE,120
2024,DST,Colts,IND,120
2024,DST,Jets,NYJ,120
2024,DST,Giants,NYG,118
2024,DST,Buccaneers,TB,117
2024,DST,Chargers,LAC,117
2024,DST,Chiefs,KC,117
2024,DST,Texans,HOU,117
2024,DST,Commanders,WSH,116
2024,DST,Dolphins,MIA,116
2024,DST,Lions,DET,116
2024,DST,Steelers,PIT,116
2024,DST,49ers,SF,115
2024,DST,Jaguars,JAX,113
2024,DST,Packers,GB,113
2024,DST,Saints,NO,113
2024,DST,Seahawks,SEA,113
2024,DST,Vikings,MIN,113
2024,DST,Broncos,DEN,110
2024,DST,Falcons,ATL,108
2024,DST,Patriots,NE,108
2024,DST,Raiders,LV,108
2024,DST,Rams,LAR,107
2024,DST,Bears,CHI,106
2024,DST,Titans,TEN,105
2024,DST,Cardinals,ARI,104
2024,DST,Panthers,CAR,104
2024,K,Justin Tucker,BAL,108
2024,K,Evan McPherson,CIN,107
2024,K,Harrison Butker,KC,102
2024,K,Brandon Aubrey,DAL,99
2024,K,Younghoe Koo,ATL,96
2024,K,Cameron Dicker,LAC,95
2024,K,Greg Zuerlein,NYJ,95
2024,K,Kaimi Fairbairn,HOU,93
2024,K,Jake Moody,SF,93
2024,K,Michael Badgley,DET,92
2024,K,Jason Sanders,MIA,92
2024,K,Jake Elliott,PHI,91
2024,K,Dustin Hopkins,CLE,91
2024,K,Tyler Bass,BUF,90
2024,QB,Josh Allen,BUF,396
2024,QB,Lamar Jackson,BAL,376
2024,QB,Jalen Hurts,PHI,374
2024,QB,Patrick Mahomes,KC,367
2024,QB,Anthony Richardson,IND,338
2024,QB,Dak Prescott,DAL,334
2024,QB,Joe Burrow,CIN,331
2024,QB,Jayden Daniels,WSH,331
2024,QB,C.J. Stroud,HOU,331
2024,QB,Jordan Love,GB,327
2024,QB,Caleb Williams,CHI,318
2024,QB,Kyler Murray,ARI,314
2024,QB,Brock Purdy,SF,311
2024,QB,Trevor Lawrence,JAX,310
2024,QB,Justin Herbert,LAC,309
2024,QB,Jared Goff,DET,306
2024,QB,Tua Tagovailoa,MIA,302
2024,QB,Aaron Rodgers,NYJ,299
2024,QB,Kirk Cousins,ATL,296
2024,QB,Deshaun Watson,CLE,293
2024,QB,Matthew Stafford,LAR,291
2024,QB,Baker Mayfield,TB,285
2024,QB,J.J. McCarthy,MIN,285
2024,QB,Geno Smith,SEA,278
2024,QB,Bryce Young,CAR,278
2024,QB,Will Levis,TEN,273
2024,QB,Derek Carr,NO,258
2024,QB,Drake Maye,NE,239
2024,QB,Daniel Jones,NYG,222
2024,QB,Russell Wilson,PIT,202
2024,QB,Bo Nix,DEN,201
2024,QB,Gardner Minshew,LV,162
2024,QB,Justin Fields,PIT,101
2024,QB,Aidan O'Connell,LV,99
2024,RB,Christian McCaffrey,SF,302
